Metric,ValidCount,Mean,Std,Min,Max
L1_BLEU4,230,0.012492235562178777,0.016477928677243157,0.0,0.11952504185769622
L2_Embedding_Cosine,230,0.38843069937914304,0.1563026074759393,0.004826384489320823,0.8086564628498847
L3_KHR,230,0.014891304347826087,0.02751516315654737,0.0,0.275
L3_Length_Sim,230,0.3846134455428775,0.2904547473542731,0.011235955056179803,1.0
L3_Punctuation_Sim,230,0.8320228958781477,0.3458528208824892,0.0,1.0
L3_Modal_Sim,230,0.7547696244847482,0.4179344467605149,0.0,1.0
L4_Tone,230,0.4496,,,
L4_Semantic,230,0.4722,,,
L4_Fidelity,230,0.4852,,,
L4_Win_Rate,230,0.5913,,,
L5_Drift,230,0.06502991520056144,0.019286845329073023,0.0,0.11788415130255225
L5_Adversarial_Drift,230,0.5946427226692387,0.17716636231596344,0.17719557871389532,0.9869334357245073
L5_Style_Consistency,230,0.7719223632758234,0.11685262285696556,0.4627648772252179,1.0000000000000002
