Metric,ValidCount,Mean,Std,Min,Max
L1_BLEU4,230,0.010131893232905502,0.025821761174717538,0.0,0.24880469496253566
L2_Embedding_Cosine,230,0.39244401664598155,0.18056620090536474,0.02017153367012119,1.0
L3_KHR,230,0.014239130434782607,0.019713211032119708,0.0,0.1
L3_Length_Sim,230,0.3948874234705824,0.29025896369934984,0.005870841487279899,1.0
L3_Punctuation_Sim,230,0.9644871751927733,0.18382329820715873,0.0,1.0
L3_Modal_Sim,230,0.9004531869227096,0.2958642636250687,0.0,1.0
L4_Tone,230,0.5504347826086957,0.30508754933409876,0.1,1.0
L4_Semantic,230,0.5278260869565218,0.25441012382940265,0.1,1.0
L4_Fidelity,230,0.5147826086956523,0.33428369048223494,0.1,1.0
L4_Win_Rate,230,0.40869565217391307,0.49266501323399925,0.0,1.0
L5_Drift,230,0.10300392553803268,0.019633769199034184,0.031218861716297397,0.15358379116235016
L5_Adversarial_Drift,230,0.5453575277852797,0.14567583644026064,0.06277820562953584,0.9145465537588399
L5_Style_Consistency,230,0.7749859403237463,0.14056710235576583,0.462792738189895,1.0
