Metric,ValidCount,Mean,Std,Min,Max
L1_BLEU4,291,0.009443557207828326,0.01626432214698293,0.0,0.20556680845025987
L2_Embedding_Cosine,291,0.37184819932783647,0.14677979589538295,-0.017373468240928988,0.8237354982259419
L3_KHR,291,0.010395189003436426,0.01530489591089939,0.0,0.075
L3_Length_Sim,291,0.21720492908290717,0.19485434977086788,0.008849557522123908,1.0
L3_Punctuation_Sim,291,0.9498565233349273,0.21670326863207462,0.0,1.0
L3_Modal_Sim,291,0.8458416458293471,0.35721434627030946,0.0,1.0
L4_Tone,291,0.3120,,,
L4_Semantic,291,0.3674,,,
L4_Fidelity,291,0.3378,,,
L4_Win_Rate,291,0.3986,,,
L5_Drift,291,0.06868714549061256,0.016976578859861854,0.0066156657288680394,0.11359445452320273
L5_Adversarial_Drift,291,0.6335347452781931,0.16191231414129664,0.2049331774430213,1.0065151484743693
L5_Style_Consistency,291,0.7681695127902463,0.11238316706368477,0.4198585208900088,1.0
