Metric,ValidCount,Mean,Std,Min,Max
L1_BLEU4,104,0.005946686961443481,0.006342580655350838,0.0,0.03673526562988939
L2_Embedding_Cosine,105,0.2764278212301792,0.13439707957707642,-0.011157867468123079,0.6951941331136042
L3_KHR,105,0.008571428571428572,0.01692338910800963,0.0,0.1
L3_Length_Sim,105,0.19281473115541548,0.19670479040660144,0.0,0.8
L3_Punctuation_Sim,105,0.9750385621122806,0.14936266564110362,0.0,1.0
L3_Modal_Sim,105,0.904995846330377,0.2864990558521432,0.0,1.0
L4_Tone,105,0.5229,,,
L4_Semantic,105,0.5038,,,
L4_Fidelity,105,0.5629,,,
L4_Win_Rate,105,0.7143,,,
L5_Drift,105,0.06404703058514967,0.01599991328893798,0.02016444754149562,0.11603430305301428
L5_Adversarial_Drift,105,0.5365571273469105,0.14220533864411855,0.21084031670159964,0.7944462106607276
L5_Style_Consistency,105,0.8345628150694566,0.11696178064136278,0.49633008184402216,1.0
