Metric,ValidCount,Mean,Std,Min,Max
L1_BLEU4,105,0.013746374640139723,0.04482711039362335,0.0,0.37732323479085006
L2_Embedding_Cosine,105,0.36973560026915303,0.21048019251044112,-0.03235829922656073,0.9999999999999999
L3_KHR,105,0.011428571428571427,0.013879881083824132,0.0,0.05
L3_Length_Sim,105,0.48769805899941954,0.3176587763050091,0.05084745762711862,1.0
L3_Punctuation_Sim,105,1.0,0.0,1.0,1.0
L3_Modal_Sim,105,0.9619047619047619,0.1923443188564118,0.0,1.0
L4_Tone,105,0.47714285714285715,0.28088361361176695,0.2,1.0
L4_Semantic,105,0.4961904761904761,0.22010653431210636,0.1,1.0
L4_Fidelity,105,0.4371428571428571,0.30358661888303834,0.1,1.0
L4_Win_Rate,105,0.2857142857142857,0.4539206495016018,0.0,1.0
L5_Drift,105,0.09618621197150104,0.02609233820904629,0.03345003593501792,0.13851654830902804
L5_Adversarial_Drift,105,0.6789026869222742,0.14115046895328862,0.25612140533773825,1.0281828432676832
L5_Style_Consistency,105,0.8396110530479103,0.1296572676874632,0.5196421933688244,1.0
